Character,Family,Romances,Friends,Enemies,size/Relastionship,gender/color,description
Kati Farkas,[],[],"['Isabel Coates', 'Jessica Leitenberg']",[],2,pink,
Georgina Sparks,['Philip Becker'],"['Jack Bass', 'Dan Humphrey', 'Philip Becker', 'Chuck Bass']","['Blair Waldorf', 'Jenny Humphrey', 'Dan Humphrey', 'Serena van der Woodsen', 'Chuck Bass', 'Ivy Dickens']","['Vanessa Abrams', 'Poppy Lifton', 'Eric van der Woodsen']",14,pink,
